ts,version,battery_percent,mode,mode_name,heart_bpm,flags,fall,high_stress,obstacle_near,obstacle_imminent,imu_ax_ms2,imu_ay_ms2,imu_az_ms2,ultra_left_mm,ultra_right_mm,matrix_head_mm,matrix_waist_mm,matrix_head_valid,matrix_waist_valid,pulse_raw,pulse_detected,ultra_left_zone,ultra_right_zone,matrix_head_zone,matrix_waist_zone
2026-04-16 20:27:51.428,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,102,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:51.668,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:51.908,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:52.147,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,112,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:52.327,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,106,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:52.568,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,59,90,105,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:52.807,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:53.047,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,103,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:53.227,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,59,90,105,106,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:53.468,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,108,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:53.708,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:53.947,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,102,113,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:54.127,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,58,90,105,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:54.369,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,108,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:54.607,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:54.847,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,58,90,104,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:55.028,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:55.268,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,107,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:55.508,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:55.748,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,108,True,True,0,False,imminent,imminent,imminent,imminent
