ts,version,battery_percent,mode,mode_name,heart_bpm,flags,fall,high_stress,obstacle_near,obstacle_imminent,imu_ax_ms2,imu_ay_ms2,imu_az_ms2,ultra_left_mm,ultra_right_mm,matrix_head_mm,matrix_waist_mm,matrix_head_valid,matrix_waist_valid,ultra_left_zone,ultra_right_zone,matrix_head_zone,matrix_waist_zone
2026-04-16 16:56:56.839,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,59,40,293,102,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:57.019,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,293,102,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:57.259,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,297,104,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:57.438,3,0,0,NORMAL,0,0,False,False,False,False,0.0,17.05,9.8,60,40,301,101,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:57.678,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,296,102,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:57.859,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,298,103,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:58.038,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,296,103,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:58.278,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,296,102,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:58.458,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,296,101,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:58.698,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,294,102,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:58.878,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,298,102,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:59.119,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,298,103,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:59.298,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,293,102,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:59.478,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,297,102,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:59.718,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,297,103,True,True,imminent,imminent,near,imminent
2026-04-16 16:56:59.899,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,299,104,True,True,imminent,imminent,near,imminent
2026-04-16 16:57:00.139,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,302,102,True,True,imminent,imminent,near,imminent
2026-04-16 16:57:00.318,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,298,102,True,True,imminent,imminent,near,imminent
2026-04-16 16:57:00.498,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,299,100,True,True,imminent,imminent,near,imminent
2026-04-16 16:57:00.739,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,295,102,True,True,imminent,imminent,near,imminent
2026-04-16 16:57:00.918,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,58,40,302,101,True,True,imminent,imminent,near,imminent
2026-04-16 16:57:01.158,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,292,100,True,True,imminent,imminent,near,imminent
2026-04-16 16:57:01.338,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,300,103,True,True,imminent,imminent,near,imminent
2026-04-16 16:57:01.579,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,299,101,True,True,imminent,imminent,near,imminent
2026-04-16 16:57:01.818,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,40,299,102,True,True,imminent,imminent,near,imminent
