ts,version,battery_percent,mode,mode_name,heart_bpm,flags,fall,high_stress,obstacle_near,obstacle_imminent,imu_ax_ms2,imu_ay_ms2,imu_az_ms2,ultra_left_mm,ultra_right_mm,matrix_head_mm,matrix_waist_mm,matrix_head_valid,matrix_waist_valid,heart_bpm_roll,heart_above_high,heart_below_low,battery_low,stress_score,virtual_mode_default,virtual_mode_conservative,mode_delta_default,mode_delta_conservative,imu_accel_mag_ms2
2026-04-16 16:39:57.842,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,340,292,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:58.082,3,0,0,NORMAL,0,0,False,False,False,False,-7.84,-7.84,0.0,70,50,343,295,True,True,0.0,False,True,True,0,1,1,1,1,11.087434329005065
2026-04-16 16:39:58.263,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,342,297,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:58.502,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,343,298,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:58.683,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,342,294,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:58.863,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,332,294,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:59.103,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,340,295,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:59.283,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,340,298,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:59.523,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,341,296,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:59.703,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,339,292,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:39:59.943,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,341,298,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:40:00.122,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,342,298,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:40:00.303,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,341,298,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:40:00.542,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,337,294,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:40:00.723,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,342,293,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:40:00.963,3,0,0,NORMAL,0,0,False,False,False,False,9.83,-7.48,9.77,70,50,339,291,True,True,0.0,False,True,True,0,1,1,1,1,15.749038065862942
2026-04-16 16:40:01.143,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,341,292,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:40:01.322,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,341,297,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:40:01.563,3,0,0,NORMAL,0,0,False,False,False,False,0.0,-12.79,9.76,70,50,337,293,True,True,0.0,False,True,True,0,1,1,1,1,16.088558046015184
